name,time,X,Y
SequenceLocation,1578445040745953500,0.805347,3.2310917
SequenceLocation,1578445040940994800,0.79031885,3.230557
SequenceLocation,1578445040953958500,0.7858851,3.2331984
SequenceLocation,1578445040989837500,0.73973769,3.2376511
SequenceLocation,1578445041133063500,0.76394254,3.2299957
SequenceLocation,1578445041190894500,0.78071827,3.2349668
SequenceLocation,1578445041334041800,0.790391,3.2317295
SequenceLocation,1578445041434953600,0.79233062,3.2347603
SequenceLocation,1578445041495798300,0.809973,3.2358203
SequenceLocation,1578445041643359800,0.78680855,3.2300904
SequenceLocation,1578445041689546900,0.799314,3.2379882
SequenceLocation,1578445041790804900,0.79490775,3.2277873
SequenceLocation,1578445041890127600,0.81520188,3.2291358
SequenceLocation,1578445041993245600,0.80714118,3.2182503
SequenceLocation,1578445042092150300,0.81894511,3.2175915
SequenceLocation,1578445042186333600,0.83270115,3.3152127
SequenceLocation,1578445042291791200,0.7980544,3.4046156
SequenceLocation,1578445042390164300,0.81151539,3.4577551
SequenceLocation,1578445042490093400,0.77680528,3.3936577
SequenceLocation,1578445042589849300,0.77198774,3.3317232
SequenceLocation,1578445042689931600,0.71879679,3.3185365
SequenceLocation,1578445042837725700,0.69495487,3.3077929
SequenceLocation,1578445042889971600,0.7807284,3.2410135
SequenceLocation,1578445042989917400,0.82892764,3.2807887
SequenceLocation,1578445043092003400,0.86363822,3.3094077
SequenceLocation,1578445043190271900,0.94489849,3.3193409
SequenceLocation,1578445043335147700,0.95777607,3.291997
SequenceLocation,1578445043390994100,0.892021,3.3993602
SequenceLocation,1578445043491911900,0.884384,3.4702952
SequenceLocation,1578445043629160100,0.86629868,3.4892426
SequenceLocation,1578445043690059800,0.7210837,3.4987991
SequenceLocation,1578445043791081000,0.68291724,3.5064404
SequenceLocation,1578445043894156000,0.84767771,3.7868495
SequenceLocation,1578445043990080200,0.97331482,3.9762611
SequenceLocation,1578445044137866600,0.88943827,4.0017738
SequenceLocation,1578445044188265900,0.7942341,3.9610925
SequenceLocation,1578445044335972000,0.726155,3.9927521
SequenceLocation,1578445044391002600,0.60728025,3.9725428
SequenceLocation,1578445044489878900,0.52259994,3.9708486
SequenceLocation,1578445044633873600,0.51393062,3.9976258
SequenceLocation,1578445044689754900,0.49800235,4.0266137
SequenceLocation,1578445044834424600,0.49199277,4.0794468
SequenceLocation,1578445044935174000,0.43575072,4.1066928
SequenceLocation,1578445044989450600,0.34678257,4.1514335
SequenceLocation,1578445045090506000,0.29777116,4.1851254
SequenceLocation,1578445045191382400,0.25836957,4.21287
SequenceLocation,1578445045340369500,0.1946844,4.2993884
SequenceLocation,1578445045440297900,0.099878572,4.4101815
SequenceLocation,1578445045491163500,0.027498374,4.4315224
SequenceLocation,1578445045593004500,-0.075445578,4.4895315
SequenceLocation,1578445045691307400,-0.18256392,4.5266318
SequenceLocation,1578445045795991800,-0.29271013,4.59315
SequenceLocation,1578445045995693800,-0.22395787,4.4854636
SequenceLocation,1578445046138911500,-0.3773334,4.6290731
SequenceLocation,1578445046191921900,-0.44118842,4.67021
SequenceLocation,1578445046337676500,-0.48305294,4.7062554
SequenceLocation,1578445046433784000,-0.54949462,4.8231826
SequenceLocation,1578445046489995500,-0.63651615,4.9315863
SequenceLocation,1578445046634614000,-0.70999539,4.9993057
SequenceLocation,1578445046690069700,-0.77589828,5.1140428
SequenceLocation,1578445046840082100,-0.785003,5.1622853
SequenceLocation,1578445046938810700,-0.78062528,5.1833463
SequenceLocation,1578445047132058200,-0.76719904,5.2762122
SequenceLocation,1578445047444898400,-0.96313947,5.5846791
SequenceLocation,1578445047495762300,-1.0769254,5.7109137
SequenceLocation,1578445047689374200,-1.2382869,5.9078884
SequenceLocation,1578445047836462200,-1.7546492,5.6509409
SequenceLocation,1578445048136255100,-1.9839735,5.7094507
SequenceLocation,1578445048435335700,-2.1254189,5.9699316
SequenceLocation,1578445048494150500,-2.2349088,6.0684533
SequenceLocation,1578445048636360400,-2.2432983,6.1288629
SequenceLocation,1578445048693169200,-2.2757607,6.2099214
SequenceLocation,1578445048835335100,-2.2943413,6.3035188
SequenceLocation,1578445048938333800,-2.3498061,6.3115711
SequenceLocation,1578445048990138000,-2.4693635,6.3321304
SequenceLocation,1578445049137042800,-2.5208242,6.3605089
SequenceLocation,1578445049192936600,-2.6541076,6.3446832
SequenceLocation,1578445049292407700,-2.7634668,6.3331242
SequenceLocation,1578445049434044400,-2.9523573,6.3424726
SequenceLocation,1578445049490565600,-2.9724016,6.3340058
SequenceLocation,1578445049590617600,-2.98909,6.3425541
SequenceLocation,1578445049690299700,-3.0534084,6.3437972
SequenceLocation,1578445049835985500,-3.1151898,6.3678336
SequenceLocation,1578445049933043900,-3.2233365,6.401926
SequenceLocation,1578445049991912300,-3.3421276,6.4557791
SequenceLocation,1578445050092491600,-3.5461195,6.4297347
SequenceLocation,1578445050191166100,-3.7267365,6.4122624
SequenceLocation,1578445050337378100,-3.8311419,6.3710403
SequenceLocation,1578445050436258800,-3.95904,6.3627515
SequenceLocation,1578445050491156600,-4.0794911,6.3541284
SequenceLocation,1578445050636892300,-4.1708064,6.3343387
SequenceLocation,1578445050688785100,-4.2802181,6.3207321
SequenceLocation,1578445050837391200,-4.4274287,6.347321
SequenceLocation,1578445050891420500,-4.420496,6.3438663
SequenceLocation,1578445050991246100,-4.4760952,6.3516793
SequenceLocation,1578445051092472100,-4.5908933,6.3667841
SequenceLocation,1578445051195407500,-4.5591335,6.3534346
SequenceLocation,1578445051289708800,-4.627604,6.3438387
SequenceLocation,1578445051432896000,-4.7310824,6.3318
SequenceLocation,1578445051829539700,-5.211112,6.3360376
SequenceLocation,1578445052190927100,-5.5262747,6.3791728
SequenceLocation,1578445057936502900,-9.6564665,5.8255377
SequenceLocation,1578445057990352300,-9.6962814,5.7186389
SequenceLocation,1578445058136421400,-9.73496,5.64133
SequenceLocation,1578445058191435600,-9.7337236,5.5499082
SequenceLocation,1578445058435594300,-9.7356653,5.401248
SequenceLocation,1578445058490404800,-9.7071495,5.3774867
SequenceLocation,1578445058638736200,-9.6332464,5.2190881
SequenceLocation,1578445058690919600,-9.6064615,5.1236286
SequenceLocation,1578445058834782400,-9.5790081,4.9923224
SequenceLocation,1578445058895619300,-9.6084127,4.9467106
SequenceLocation,1578445058989899600,-9.6619873,4.8521185
SequenceLocation,1578445059135288300,-9.6373091,4.7378473
SequenceLocation,1578445059189111900,-9.6557932,4.6588054
SequenceLocation,1578445059332272500,-9.6880579,4.5733914
SequenceLocation,1578445059436513400,-9.7235861,4.4718451
SequenceLocation,1578445059490362300,-9.7404728,4.3926892
SequenceLocation,1578445059693167800,-9.766593,4.2238483
SequenceLocation,1578445059834058300,-9.7702169,4.1343632
SequenceLocation,1578445059940735500,-9.7564955,4.0507512
SequenceLocation,1578445059987091000,-9.7360563,3.9475927
SequenceLocation,1578445060089748700,-9.7343769,3.9445953
SequenceLocation,1578445060192747600,-9.7377481,3.9374411
SequenceLocation,1578445060290629400,-9.7241268,3.8247986
SequenceLocation,1578445060491556700,-9.8246737,3.7631538
SequenceLocation,1578445060591298400,-9.9020624,3.6945775
SequenceLocation,1578445060691025300,-9.8798037,3.6744971
SequenceLocation,1578445061152751500,-9.8782663,3.2696757
SequenceLocation,1578445062404514500,-9.7882433,2.0488644
SequenceLocation,1578445062536942100,-9.8408785,2.0119588
SequenceLocation,1578445062675587800,-9.8323641,1.8632407
SequenceLocation,1578445062806551300,-9.8358936,1.6625229
SequenceLocation,1578445062824549500,-9.8602886,1.5187207
SequenceLocation,1578445063084061000,-9.8010588,1.0446516
SequenceLocation,1578445063165807200,-9.7378044,0.74198729
SequenceLocation,1578445063177776500,-9.7479658,0.089808688
SequenceLocation,1578445063282023500,-9.7668009,0.26251695
SequenceLocation,1578445063449933900,-9.6872234,-0.28150511
SequenceLocation,1578445063497798600,-9.7031326,-0.063701972
SequenceLocation,1578445063509810000,-9.6882925,-0.15355639
SequenceLocation,1578445063619473300,-9.6359329,-0.2199859
SequenceLocation,1578445063787376200,-9.5476036,-0.10232506
SequenceLocation,1578445064122888800,-9.5098286,0.025323778
SequenceLocation,1578445064135852200,-9.3591042,-0.10830587
SequenceLocation,1578445064140839500,-9.08508,-0.15127893
SequenceLocation,1578445064146853900,-9.0913544,-0.14396054
SequenceLocation,1578445064366859500,-8.9276724,-0.066146135
SequenceLocation,1578445064463137200,-8.7821512,-0.10819111
SequenceLocation,1578445064634701700,-8.5509148,-0.067146689
SequenceLocation,1578445064805626100,-8.3899269,-0.04848304
SequenceLocation,1578445064971541000,-8.3631773,-0.04381853
SequenceLocation,1578445064990497400,-8.1225758,-0.04901823
SequenceLocation,1578445065001463800,-7.985178,0.091402866
SequenceLocation,1578445065141562300,-7.8438406,0.047888786
SequenceLocation,1578445065159512200,-7.7195697,0.0041325563
SequenceLocation,1578445065307385300,-7.568161,0.098300323
SequenceLocation,1578445065325301500,-7.2024388,0.37056431
SequenceLocation,1578445065659552300,-7.1580958,0.24080399
SequenceLocation,1578445065819418100,-7.2444654,0.091229714
SequenceLocation,1578445065950406800,-6.8938403,0.27213874
SequenceLocation,1578445065968351200,-7.091753,0.064372063
SequenceLocation,1578445066164711900,-7.1011043,-0.020061927
SequenceLocation,1578445066389946900,-7.4017496,-0.2546874
SequenceLocation,1578445066493419200,-7.3270879,-0.26076
SequenceLocation,1578445066590761500,-7.3899989,-0.3369109
SequenceLocation,1578445066689994900,-7.2250996,-0.270628
