name,time,beacon,rssi,scanner
SequenceRSSI,1579055664084000000,0117C55D14E4,-77,F1307ECB3B90
SequenceRSSI,1579055664303000000,0117C55D14E4,-91,F69A86823B96
SequenceRSSI,1579055664397000000,0117C55D14E4,-75,F69A86823B96
SequenceRSSI,1579055664421000000,0117C55D14E4,-85,FB2EE01C18CE
SequenceRSSI,1579055664469000000,0117C55D14E4,-69,E13B805C6CB0
SequenceRSSI,1579055664470000000,0117C55D14E4,-79,E13B805C6CB0
SequenceRSSI,1579055664472000000,0117C55D14E4,-71,E13B805C6CB0
SequenceRSSI,1579055664566000000,0117C55D14E4,-98,F1EDAF28E08A
SequenceRSSI,1579055664715000000,0117C55D14E4,-76,DF231643E227
SequenceRSSI,1579055664716000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1579055664724000000,0117C55D14E4,-89,FDAE5980F28C
SequenceRSSI,1579055664823000000,0117C55D14E4,-69,E96AF2C858BA
SequenceRSSI,1579055664948000000,0117C55D14E4,-74,E6D9D20DD197
SequenceRSSI,1579055664950000000,0117C55D14E4,-72,E6D9D20DD197
SequenceRSSI,1579055664951000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI,1579055664984000000,0117C55D14E4,-76,E6D9D20DD197
SequenceRSSI,1579055665013000000,0117C55D14E4,-75,E6D9D20DD197
SequenceRSSI,1579055665047000000,0117C55D14E4,-77,E6D9D20DD197
SequenceRSSI,1579055665110000000,0117C55D14E4,-75,F1307ECB3B90
SequenceRSSI,1579055665187000000,0117C55D14E4,-69,E13B805C6CB0
SequenceRSSI,1579055665196000000,0117C55D14E4,-77,F1307ECB3B90
SequenceRSSI,1579055665205000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1579055665218000000,0117C55D14E4,-65,DF231643E227
SequenceRSSI,1579055665291000000,0117C55D14E4,-71,E96AF2C858BA
SequenceRSSI,1579055665491000000,0117C55D14E4,-70,E13B805C6CB0
SequenceRSSI,1579055665491000000,0117C55D14E4,-67,DF231643E227
SequenceRSSI,1579055665497000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1579055665804000000,0117C55D14E4,-83,FB2EE01C18CE
SequenceRSSI,1579055665841000000,0117C55D14E4,-71,E13B805C6CB0
SequenceRSSI,1579055665858000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1579055665916000000,0117C55D14E4,-67,E96AF2C858BA
SequenceRSSI,1579055665922000000,0117C55D14E4,-70,DF231643E227
SequenceRSSI,1579055665993000000,0117C55D14E4,-69,DF231643E227
SequenceRSSI,1579055666105000000,0117C55D14E4,-74,E96AF2C858BA
SequenceRSSI,1579055666233000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1579055666347000000,0117C55D14E4,-67,E96AF2C858BA
SequenceRSSI,1579055666354000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1579055666363000000,0117C55D14E4,-69,E13B805C6CB0
SequenceRSSI,1579055666375000000,0117C55D14E4,-82,DB8B36A69C56
SequenceRSSI,1579055666386000000,0117C55D14E4,-94,E43355CA8B96
SequenceRSSI,1579055666593000000,0117C55D14E4,-65,DF231643E227
SequenceRSSI,1579055666607000000,0117C55D14E4,-87,D2B6503554D7
SequenceRSSI,1579055666742000000,0117C55D14E4,-87,FB2EE01C18CE
SequenceRSSI,1579055666766000000,0117C55D14E4,-94,CD4533FFC0E1
SequenceRSSI,1579055666767000000,0117C55D14E4,-72,CD4533FFC0E1
SequenceRSSI,1579055667061000000,0117C55D14E4,-67,E96AF2C858BA
SequenceRSSI,1579055667099000000,0117C55D14E4,-77,E13B805C6CB0
SequenceRSSI,1579055667309000000,0117C55D14E4,-78,E6D9D20DD197
SequenceRSSI,1579055667369000000,0117C55D14E4,-79,E6D9D20DD197
SequenceRSSI,1579055667371000000,0117C55D14E4,-87,E6D9D20DD197
SequenceRSSI,1579055667372000000,0117C55D14E4,-77,F69A86823B96
SequenceRSSI,1579055667431000000,0117C55D14E4,-82,D2B6503554D7
SequenceRSSI,1579055667475000000,0117C55D14E4,-71,E96AF2C858BA
SequenceRSSI,1579055667675000000,0117C55D14E4,-73,E96AF2C858BA
SequenceRSSI,1579055667783000000,0117C55D14E4,-74,CD4533FFC0E1
SequenceRSSI,1579055667839000000,0117C55D14E4,-67,E96AF2C858BA
SequenceRSSI,1579055667841000000,0117C55D14E4,-78,EC72840D9AD3
SequenceRSSI,1579055667854000000,0117C55D14E4,-70,EC72840D9AD3
SequenceRSSI,1579055667950000000,0117C55D14E4,-67,CD4533FFC0E1
SequenceRSSI,1579055667992000000,0117C55D14E4,-66,DF231643E227
SequenceRSSI,1579055668261000000,0117C55D14E4,-72,E96AF2C858BA
SequenceRSSI,1579055668461000000,0117C55D14E4,-68,DF231643E227
SequenceRSSI,1579055668769000000,0117C55D14E4,-71,E13B805C6CB0
SequenceRSSI,1579055668857000000,0117C55D14E4,-70,EC72840D9AD3
SequenceRSSI,1579055668906000000,0117C55D14E4,-72,E6D9D20DD197
SequenceRSSI,1579055668908000000,0117C55D14E4,-77,FB2EE01C18CE
SequenceRSSI,1579055668908000000,0117C55D14E4,-68,E6D9D20DD197
SequenceRSSI,1579055668909000000,0117C55D14E4,-72,CD4533FFC0E1
SequenceRSSI,1579055668970000000,0117C55D14E4,-89,E6D9D20DD197
SequenceRSSI,1579055668991000000,0117C55D14E4,-72,E6D9D20DD197
SequenceRSSI,1579055669063000000,0117C55D14E4,-83,FB2EE01C18CE
SequenceRSSI,1579055669219000000,0117C55D14E4,-68,E96AF2C858BA
SequenceRSSI,1579055669422000000,0117C55D14E4,-80,E6D9D20DD197
SequenceRSSI,1579055669788000000,0117C55D14E4,-76,DB8B36A69C56
SequenceRSSI,1579055669824000000,0117C55D14E4,-68,E96AF2C858BA
