name,time,X,Y
SequenceLocation,1578021617842690200,0.91398424,3.5403121
SequenceLocation,1578021617968443700,0.91436118,3.4995208
SequenceLocation,1578021617977410800,0.84217107,3.4835441
SequenceLocation,1578021618100188600,0.92799211,3.3701186
SequenceLocation,1578021618169958200,0.88316041,3.3554046
SequenceLocation,1578021618237898300,0.93265212,3.2744081
SequenceLocation,1578021618430869800,1.0578495,3.0383327
SequenceLocation,1578021618506291700,0.92244595,3.0748398
SequenceLocation,1578021618573595300,0.86926562,3.0710435
SequenceLocation,1578021618702689500,0.907145,2.9946728
SequenceLocation,1578021618769726300,0.83563876,3.0693302
SequenceLocation,1578021618904001100,0.79077256,3.1498384
SequenceLocation,1578021618971595600,0.73732162,3.3512731
SequenceLocation,1578021619110196200,0.67433971,3.4718819
SequenceLocation,1578021619163403300,0.617861,3.6988945
SequenceLocation,1578021619262541500,0.56843024,3.8590975
SequenceLocation,1578021619383267700,0.47949666,3.8622816
SequenceLocation,1578021619437840000,0.34709296,3.8721602
SequenceLocation,1578021619580414300,0.27015892,3.8625226
SequenceLocation,1578021619690149200,0.26814178,3.8390591
SequenceLocation,1578021619766985100,0.26218387,3.8262355
SequenceLocation,1578021619899463400,0.090972126,3.8176303
SequenceLocation,1578021619995191900,0.06266813,3.8136604
SequenceLocation,1578021620054987300,0.045251314,3.8472178
SequenceLocation,1578021620197318400,-0.071170263,3.8621571
SequenceLocation,1578021620255902200,-0.11260325,3.9222929
SequenceLocation,1578021620384467000,-0.24683514,4.0345941
SequenceLocation,1578021620443067800,-0.27649474,4.1301718
SequenceLocation,1578021620609067200,-0.3963542,4.222445
SequenceLocation,1578021620669431500,-0.49191442,4.3506989
SequenceLocation,1578021620739260000,-0.42274275,4.3027725
SequenceLocation,1578021620906570300,-0.37507772,4.3289757
SequenceLocation,1578021620957470100,-0.33531693,4.3423085
SequenceLocation,1578021621091873200,-0.30650556,4.4418716
SequenceLocation,1578021621156228700,-0.29382536,4.4844103
SequenceLocation,1578021621235978800,-0.30325717,4.5418577
SequenceLocation,1578021621374633100,-0.40010175,4.5953093
SequenceLocation,1578021621426490200,-0.37645313,4.7078228
SequenceLocation,1578021621584868900,-0.43022683,4.7191505
SequenceLocation,1578021621653703400,-0.39985964,4.6635084
SequenceLocation,1578021621739977000,-0.17257188,4.525774
SequenceLocation,1578021621883618800,-0.33454186,4.6638937
SequenceLocation,1578021621931424300,-0.33158845,4.6368618
SequenceLocation,1578021622092968700,-0.42382672,4.7424111
SequenceLocation,1578021622153054000,-0.5237661,4.8390756
SequenceLocation,1578021622237824300,-0.59615666,4.94942
SequenceLocation,1578021622397716300,-0.66465092,5.0369935
SequenceLocation,1578021622453571200,-0.73483825,5.109376
SequenceLocation,1578021622598849700,-0.79607809,5.1401668
SequenceLocation,1578021622659359400,-0.83802676,5.2044306
SequenceLocation,1578021622734137900,-0.84705275,5.3245025
SequenceLocation,1578021622900705000,-0.81292248,5.5142674
SequenceLocation,1578021622951507700,-0.79771614,5.6316056
SequenceLocation,1578021623094639100,-0.75818139,5.80342
SequenceLocation,1578021623161811700,-0.77182162,5.9204478
SequenceLocation,1578021623237403000,-0.87306678,6.0020704
SequenceLocation,1578021623434885200,-0.951021,6.1821232
SequenceLocation,1578021624075125600,-1.2981071,6.3535466
SequenceLocation,1578021624192970700,-1.5512183,6.4482846
SequenceLocation,1578021624376985600,-1.8148208,6.3361359
