name,time,X,Y
SequenceLocation,1579055659662579800,0.94435406,3.8198025
SequenceLocation,1579055659822620500,0.95090878,3.8075478
SequenceLocation,1579055659853884400,0.93085009,3.8019214
SequenceLocation,1579055659956923000,0.91614646,3.8159971
SequenceLocation,1579055660008079600,0.91250187,3.7973557
SequenceLocation,1579055660105618200,0.90544063,3.7860308
SequenceLocation,1579055660209412600,0.89882076,3.7713871
SequenceLocation,1579055660356374000,0.90712625,3.7848377
SequenceLocation,1579055660408666000,0.91302943,3.7782166
SequenceLocation,1579055660507664600,0.91074073,3.7776222
SequenceLocation,1579055660611823100,0.91074377,3.7761972
SequenceLocation,1579055660712481800,0.90989357,3.7702591
SequenceLocation,1579055660809223600,0.91546714,3.764123
SequenceLocation,1579055660953924200,0.91741723,3.7804856
SequenceLocation,1579055661008136600,0.94423735,3.8138318
SequenceLocation,1579055661153659200,0.90457875,3.8237252
SequenceLocation,1579055661257330700,0.88875532,3.8319719
SequenceLocation,1579055661307050000,0.87228304,3.8460534
SequenceLocation,1579055661450994400,0.86488777,3.8708754
SequenceLocation,1579055661507216600,0.89034891,3.862262
SequenceLocation,1579055661654951800,0.8667407,3.8949249
SequenceLocation,1579055661706847900,0.91071892,3.9235411
SequenceLocation,1579055661852198000,0.937827,3.9438491
SequenceLocation,1579055661954430500,0.95207512,3.9452827
SequenceLocation,1579055662007265200,0.96839482,3.8817902
SequenceLocation,1579055662154927900,0.97198695,3.8326039
SequenceLocation,1579055662252804700,0.82127404,3.7017729
SequenceLocation,1579055662307342400,0.88674253,3.7886767
SequenceLocation,1579055662406271000,0.92423469,3.7095256
SequenceLocation,1579055662506258100,0.97201687,3.6505046
SequenceLocation,1579055662610301800,0.99818504,3.629025
SequenceLocation,1579055662708088500,1.0381919,3.5352256
SequenceLocation,1579055662856528000,1.0208395,3.4979384
SequenceLocation,1579055662956909300,1.0197271,3.4811463
SequenceLocation,1579055663012393100,0.99017894,3.4955773
SequenceLocation,1579055663156159000,0.96058667,3.5052288
SequenceLocation,1579055663256552600,0.93362147,3.5114634
SequenceLocation,1579055663310426500,0.91383457,3.5131721
SequenceLocation,1579055663459491200,0.88026035,3.5213027
SequenceLocation,1579055663511880800,0.89143044,3.5305548
SequenceLocation,1579055663655348800,0.91608721,3.5442333
SequenceLocation,1579055663710801400,0.94833338,3.5611517
