name,time,X,Y
TestSequenceLocation2,1582079808481337700,0.72103143,3.6896615
TestSequenceLocation2,1582079808584083300,0.66330987,3.6781213
TestSequenceLocation2,1582079808613589800,0.62127632,3.6589615
TestSequenceLocation2,1582079808718351900,0.66880256,3.6426485
TestSequenceLocation2,1582079808815005400,0.681962,3.6366758
TestSequenceLocation2,1582079808915808500,0.65101522,3.6303833
TestSequenceLocation2,1582079809011179600,0.60152274,3.6225252
TestSequenceLocation2,1582079809113365800,0.61745238,3.6294813
TestSequenceLocation2,1582079809214203100,0.64924008,3.6170743
TestSequenceLocation2,1582079809315386000,0.69731659,3.60239
TestSequenceLocation2,1582079809416500300,0.730682,3.5932395
TestSequenceLocation2,1582079809532987000,0.76916176,3.568635
TestSequenceLocation2,1582079809616814100,0.76959604,3.6937547
TestSequenceLocation2,1582079809724402200,0.75576973,3.7261329
TestSequenceLocation2,1582079809819461000,0.77616924,3.7909727
TestSequenceLocation2,1582079809914462600,0.78613096,3.7566941
TestSequenceLocation2,1582079810015331600,0.78181922,3.7697632
TestSequenceLocation2,1582079810115417800,0.76847768,3.8079073
TestSequenceLocation2,1582079810215398900,0.76385587,3.8381264
TestSequenceLocation2,1582079810313410200,0.76083356,3.8818185
TestSequenceLocation2,1582079810414383800,0.76839769,3.7763727
TestSequenceLocation2,1582079810515021700,0.75812733,3.7640963
TestSequenceLocation2,1582079810615186000,0.76620084,3.7559967
TestSequenceLocation2,1582079810715317600,0.75035983,3.7901876
TestSequenceLocation2,1582079810814380200,0.77642143,3.7147233
TestSequenceLocation2,1582079810915410100,0.77966475,3.6983984
TestSequenceLocation2,1582079811014394500,0.75512636,3.6935077
TestSequenceLocation2,1582079811113438100,0.73856252,3.7654963
TestSequenceLocation2,1582079811213442800,0.72921914,3.7571878
TestSequenceLocation2,1582079811314948400,0.7150988,3.7239964
TestSequenceLocation2,1582079811418092400,0.69300586,3.7424572
TestSequenceLocation2,1582079811514179400,0.6611256,3.7360957
TestSequenceLocation2,1582079811614173900,0.65393782,3.7354453
TestSequenceLocation2,1582079811725049400,0.62906736,3.8081102
TestSequenceLocation2,1582079811820474100,0.60239857,3.8508356
TestSequenceLocation2,1582079811915082400,0.5882476,3.8512208
TestSequenceLocation2,1582079812015171100,0.61177677,3.8993852
TestSequenceLocation2,1582079812114777900,0.61342561,4.0403366
TestSequenceLocation2,1582079812213794900,0.57816917,4.0707393
TestSequenceLocation2,1582079812314985300,0.58168578,4.1106482
TestSequenceLocation2,1582079812414997900,0.60198921,4.1147189
TestSequenceLocation2,1582079812514979600,0.63567585,4.1238365
TestSequenceLocation2,1582079812614681000,0.63703626,4.1561909
TestSequenceLocation2,1582079812716486800,0.60171258,4.2696562
TestSequenceLocation2,1582079812817202300,0.59389544,4.25957
TestSequenceLocation2,1582079812914811000,0.5702365,4.1878228
TestSequenceLocation2,1582079813014514000,0.58722281,4.22605
TestSequenceLocation2,1582079813114809500,0.58483553,4.1250162
TestSequenceLocation2,1582079813216825500,0.54961956,4.0648985
TestSequenceLocation2,1582079813314823300,0.55363452,4.098362
TestSequenceLocation2,1582079813415356500,0.58754152,4.0592704
TestSequenceLocation2,1582079813515778800,0.52673554,4.0256271
TestSequenceLocation2,1582079813616095800,0.50399947,4.0031457
TestSequenceLocation2,1582079813716028000,0.48354009,3.9927387
TestSequenceLocation2,1582079813814881200,0.50634855,3.9806545
TestSequenceLocation2,1582079813915611500,0.52895743,3.9799902
TestSequenceLocation2,1582079814015731400,0.54509,4.0068593
TestSequenceLocation2,1582079814115461000,0.5509724,4.0581584
TestSequenceLocation2,1582079814214636800,0.549616,4.1095552
TestSequenceLocation2,1582079814315627800,0.52857512,4.1415381
TestSequenceLocation2,1582079814415626500,0.56264514,4.150003
