name,time,beacon,rssi,scanner
SequenceRSSI,1578365950766000000,0117C55D14E4,-66,E96AF2C858BA
SequenceRSSI,1578365950796000000,0117C55D14E4,-89,FB2EE01C18CE
SequenceRSSI,1578365951173000000,0117C55D14E4,-77,F1307ECB3B90
SequenceRSSI,1578365951175000000,0117C55D14E4,-86,DD697EA75B68
SequenceRSSI,1578365951180000000,0117C55D14E4,-87,FB2EE01C18CE
SequenceRSSI,1578365951184000000,0117C55D14E4,-66,E96AF2C858BA
SequenceRSSI,1578365951236000000,0117C55D14E4,-77,E13B805C6CB0
SequenceRSSI,1578365951287000000,0117C55D14E4,-75,E6D9D20DD197
SequenceRSSI,1578365951383000000,0117C55D14E4,-87,F1307ECB3B90
SequenceRSSI,1578365951384000000,0117C55D14E4,-69,E13B805C6CB0
SequenceRSSI,1578365951405000000,0117C55D14E4,-97,E43355CA8B96
SequenceRSSI,1578365951439000000,0117C55D14E4,-67,DF231643E227
SequenceRSSI,1578365951473000000,0117C55D14E4,-94,FDAE5980F28C
SequenceRSSI,1578365951510000000,0117C55D14E4,-64,DF231643E227
SequenceRSSI,1578365951598000000,0117C55D14E4,-72,F69A86823B96
SequenceRSSI,1578365951749000000,0117C55D14E4,-82,D2B6503554D7
SequenceRSSI,1578365951815000000,0117C55D14E4,-69,E6D9D20DD197
SequenceRSSI,1578365951854000000,0117C55D14E4,-73,F69A86823B96
SequenceRSSI,1578365951884000000,0117C55D14E4,-80,E96AF2C858BA
SequenceRSSI,1578365951903000000,0117C55D14E4,-68,E13B805C6CB0
SequenceRSSI,1578365951969000000,0117C55D14E4,-78,F69A86823B96
SequenceRSSI,1578365952076000000,0117C55D14E4,-80,D2B6503554D7
SequenceRSSI,1578365952088000000,0117C55D14E4,-73,E6D9D20DD197
SequenceRSSI,1578365952167000000,0117C55D14E4,-70,CD4533FFC0E1
SequenceRSSI,1578365952219000000,0117C55D14E4,-63,DF231643E227
SequenceRSSI,1578365952429000000,0117C55D14E4,-75,E6D9D20DD197
SequenceRSSI,1578365952481000000,0117C55D14E4,-72,E13B805C6CB0
SequenceRSSI,1578365952503000000,0117C55D14E4,-80,D2B6503554D7
SequenceRSSI,1578365952621000000,0117C55D14E4,-70,CD4533FFC0E1
SequenceRSSI,1578365952648000000,0117C55D14E4,-86,DD697EA75B68
SequenceRSSI,1578365952671000000,0117C55D14E4,-72,EC72840D9AD3
SequenceRSSI,1578365952671000000,0117C55D14E4,-81,DB8B36A69C56
SequenceRSSI,1578365952773000000,0117C55D14E4,-68,E6D9D20DD197
SequenceRSSI,1578365952837000000,0117C55D14E4,-71,E96AF2C858BA
SequenceRSSI,1578365952872000000,0117C55D14E4,-91,E43355CA8B96
SequenceRSSI,1578365952880000000,0117C55D14E4,-78,FB2EE01C18CE
SequenceRSSI,1578365952902000000,0117C55D14E4,-71,EC72840D9AD3
SequenceRSSI,1578365953058000000,0117C55D14E4,-64,DF231643E227
SequenceRSSI,1578365953059000000,0117C55D14E4,-84,F1307ECB3B90
SequenceRSSI,1578365953062000000,0117C55D14E4,-72,E6D9D20DD197
SequenceRSSI,1578365953080000000,0117C55D14E4,-74,EC72840D9AD3
SequenceRSSI,1578365953138000000,0117C55D14E4,-71,E6D9D20DD197
SequenceRSSI,1578365953275000000,0117C55D14E4,-80,D2B6503554D7
SequenceRSSI,1578365953352000000,0117C55D14E4,-70,E6D9D20DD197
SequenceRSSI,1578365953444000000,0117C55D14E4,-72,E13B805C6CB0
SequenceRSSI,1578365953444000000,0117C55D14E4,-79,E6D9D20DD197
SequenceRSSI,1578365953460000000,0117C55D14E4,-72,E96AF2C858BA
SequenceRSSI,1578365953476000000,0117C55D14E4,-91,FB2EE01C18CE
SequenceRSSI,1578365953540000000,0117C55D14E4,-80,DB8B36A69C56
SequenceRSSI,1578365953586000000,0117C55D14E4,-74,F69A86823B96
SequenceRSSI,1578365953612000000,0117C55D14E4,-73,E96AF2C858BA
