name,time,beacon,rssi,scanner
TestSequenceRSSI,1579154760435000000,0117C55D14E4,-82,E6D9D20DD197
TestSequenceRSSI,1579154760459000000,0117C55D14E4,-67,E96AF2C858BA
TestSequenceRSSI,1579154760488000000,0117C55D14E4,-65,E96AF2C858BA
TestSequenceRSSI,1579154760606000000,0117C55D14E4,-64,DF231643E227
TestSequenceRSSI,1579154760607000000,0117C55D14E4,-84,FB2EE01C18CE
TestSequenceRSSI,1579154760607000000,0117C55D14E4,-84,DB8B36A69C56
TestSequenceRSSI,1579154760626000000,0117C55D14E4,-76,DD697EA75B68
TestSequenceRSSI,1579154760658000000,0117C55D14E4,-65,E6D9D20DD197
TestSequenceRSSI,1579154760753000000,0117C55D14E4,-80,FB2EE01C18CE
TestSequenceRSSI,1579154760753000000,0117C55D14E4,-66,E96AF2C858BA
TestSequenceRSSI,1579154760777000000,0117C55D14E4,-65,DF231643E227
TestSequenceRSSI,1579154760862000000,0117C55D14E4,-72,E6D9D20DD197
TestSequenceRSSI,1579154760909000000,0117C55D14E4,-62,DF231643E227
TestSequenceRSSI,1579154760967000000,0117C55D14E4,-67,E6D9D20DD197
TestSequenceRSSI,1579154761101000000,0117C55D14E4,-65,E96AF2C858BA
TestSequenceRSSI,1579154761101000000,0117C55D14E4,-67,DF231643E227
TestSequenceRSSI,1579154761101000000,0117C55D14E4,-90,E6D9D20DD197
TestSequenceRSSI,1579154761101000000,0117C55D14E4,-76,E13B805C6CB0
TestSequenceRSSI,1579154761179000000,0117C55D14E4,-92,FDAE5980F28C
TestSequenceRSSI,1579154761181000000,0117C55D14E4,-77,EC72840D9AD3
TestSequenceRSSI,1579154761193000000,0117C55D14E4,-80,CD4533FFC0E1
TestSequenceRSSI,1579154761197000000,0117C55D14E4,-75,E13B805C6CB0
TestSequenceRSSI,1579154761258000000,0117C55D14E4,-83,F1307ECB3B90
TestSequenceRSSI,1579154761270000000,0117C55D14E4,-62,E6D9D20DD197
TestSequenceRSSI,1579154761306000000,0117C55D14E4,-85,DB8B36A69C56
TestSequenceRSSI,1579154761307000000,0117C55D14E4,-79,EC72840D9AD3
TestSequenceRSSI,1579154761307000000,0117C55D14E4,-69,DF231643E227
TestSequenceRSSI,1579154761356000000,0117C55D14E4,-82,D2B6503554D7
TestSequenceRSSI,1579154761370000000,0117C55D14E4,-69,E6D9D20DD197
TestSequenceRSSI,1579154761370000000,0117C55D14E4,-76,CD4533FFC0E1
TestSequenceRSSI,1579154761408000000,0117C55D14E4,-70,E6D9D20DD197
TestSequenceRSSI,1579154761427000000,0117C55D14E4,-78,EC72840D9AD3
TestSequenceRSSI,1579154761476000000,0117C55D14E4,-70,DF231643E227
TestSequenceRSSI,1579154761476000000,0117C55D14E4,-89,FDAE5980F28C
TestSequenceRSSI,1579154761547000000,0117C55D14E4,-64,DF231643E227
TestSequenceRSSI,1579154761565000000,0117C55D14E4,-72,E13B805C6CB0
TestSequenceRSSI,1579154761571000000,0117C55D14E4,-82,CD4533FFC0E1
TestSequenceRSSI,1579154761608000000,0117C55D14E4,-79,F1307ECB3B90
TestSequenceRSSI,1579154761631000000,0117C55D14E4,-66,E96AF2C858BA
TestSequenceRSSI,1579154761705000000,0117C55D14E4,-62,DF231643E227
TestSequenceRSSI,1579154761708000000,0117C55D14E4,-64,E6D9D20DD197
TestSequenceRSSI,1579154761794000000,0117C55D14E4,-81,F1307ECB3B90
TestSequenceRSSI,1579154761817000000,0117C55D14E4,-73,FB2EE01C18CE
TestSequenceRSSI,1579154761847000000,0117C55D14E4,-69,E6D9D20DD197
TestSequenceRSSI,1579154761886000000,0117C55D14E4,-79,CD4533FFC0E1
TestSequenceRSSI,1579154761919000000,0117C55D14E4,-73,E13B805C6CB0
TestSequenceRSSI,1579154761938000000,0117C55D14E4,-68,DF231643E227
TestSequenceRSSI,1579154761938000000,0117C55D14E4,-71,E6D9D20DD197
TestSequenceRSSI,1579154761943000000,0117C55D14E4,-62,E96AF2C858BA
TestSequenceRSSI,1579154761944000000,0117C55D14E4,-71,CD4533FFC0E1
TestSequenceRSSI,1579154761947000000,0117C55D14E4,-87,EC72840D9AD3
TestSequenceRSSI,1579154762027000000,0117C55D14E4,-64,E6D9D20DD197
TestSequenceRSSI,1579154762033000000,0117C55D14E4,-82,DF231643E227
TestSequenceRSSI,1579154762066000000,0117C55D14E4,-70,FB2EE01C18CE
TestSequenceRSSI,1579154762073000000,0117C55D14E4,-88,E13B805C6CB0
TestSequenceRSSI,1579154762156000000,0117C55D14E4,-82,EC72840D9AD3
TestSequenceRSSI,1579154762156000000,0117C55D14E4,-65,E96AF2C858BA
TestSequenceRSSI,1579154762157000000,0117C55D14E4,-75,E13B805C6CB0
TestSequenceRSSI,1579154762191000000,0117C55D14E4,-77,DF231643E227
TestSequenceRSSI,1579154762214000000,0117C55D14E4,-56,E96AF2C858BA
TestSequenceRSSI,1579154762251000000,0117C55D14E4,-69,E6D9D20DD197
TestSequenceRSSI,1579154762272000000,0117C55D14E4,-72,DF231643E227
TestSequenceRSSI,1579154762315000000,0117C55D14E4,-78,F1307ECB3B90
TestSequenceRSSI,1579154762325000000,0117C55D14E4,-65,FB2EE01C18CE
TestSequenceRSSI,1579154762353000000,0117C55D14E4,-62,E6D9D20DD197
TestSequenceRSSI,1579154762461000000,0117C55D14E4,-61,E96AF2C858BA
TestSequenceRSSI,1579154762479000000,0117C55D14E4,-90,EC72840D9AD3
TestSequenceRSSI,1579154762518000000,0117C55D14E4,-67,DF231643E227
TestSequenceRSSI,1579154762535000000,0117C55D14E4,-75,FB2EE01C18CE
TestSequenceRSSI,1579154762562000000,0117C55D14E4,-70,E96AF2C858BA
TestSequenceRSSI,1579154762656000000,0117C55D14E4,-62,E6D9D20DD197
TestSequenceRSSI,1579154762676000000,0117C55D14E4,-62,E96AF2C858BA
TestSequenceRSSI,1579154762776000000,0117C55D14E4,-68,E6D9D20DD197
