name,time,X,Y
SequenceLocation,1578365953400515400,1.1075035,3.0289884
SequenceLocation,1578365953505374000,1.1373541,2.9866173
SequenceLocation,1578365953517339800,1.1036136,2.997535
SequenceLocation,1578365953572195700,1.0741699,2.9951968
SequenceLocation,1578365953713859400,1.0411173,3.02054
SequenceLocation,1578365953812813200,1.0232276,3.0410817
SequenceLocation,1578365953865636200,1.0051955,3.0491288
SequenceLocation,1578365953968836300,0.97875971,3.0621974
SequenceLocation,1578365954109197000,0.88849169,3.0770314
SequenceLocation,1578365954214267000,0.8893075,3.1016026
SequenceLocation,1578365954327132400,0.94523704,3.0718486
SequenceLocation,1578365954378005800,1.0037849,3.0575695
SequenceLocation,1578365954467160600,1.0678687,3.0497916
SequenceLocation,1578365954617811900,1.167478,2.9766967
SequenceLocation,1578365954687327800,1.2285414,2.9308896
SequenceLocation,1578365954819015600,1.2381052,2.9022038
SequenceLocation,1578365954870846200,1.2382538,2.8818965
SequenceLocation,1578365954978023800,1.238838,2.8554564
SequenceLocation,1578365955116053000,1.0649056,2.8254285
SequenceLocation,1578365955171239700,0.95784193,2.9331412
SequenceLocation,1578365955271430300,0.90620482,3.0308862
SequenceLocation,1578365955376156100,0.97486633,3.1500871
SequenceLocation,1578365955465663600,0.91162783,3.2502186
SequenceLocation,1578365955565938100,0.88698292,3.2074637
SequenceLocation,1578365955672615600,0.83390367,3.3209043
SequenceLocation,1578365955824336400,0.82097363,3.3916216
SequenceLocation,1578365955878547300,0.81671178,3.3911462
SequenceLocation,1578365955965482000,0.80063075,3.394237
SequenceLocation,1578365956067882300,0.79959011,3.5325863
SequenceLocation,1578365956170685400,0.791031,3.7079704
SequenceLocation,1578365956265979400,0.76237005,3.7840779
SequenceLocation,1578365956368196900,0.74355483,3.7951138
SequenceLocation,1578365956466012600,0.70856011,3.8375854
SequenceLocation,1578365956631480200,0.70392144,3.8850839
SequenceLocation,1578365956684293400,0.69782209,3.9135873
SequenceLocation,1578365956818128300,0.68135935,4.0173211
SequenceLocation,1578365956869954800,0.66661906,4.0868649
SequenceLocation,1578365956964695300,0.65049279,4.1533961
SequenceLocation,1578365957120279300,0.63270575,4.2235122
SequenceLocation,1578365957166162100,0.54803056,4.2510462
SequenceLocation,1578365957313958800,0.51922458,4.1520185
SequenceLocation,1578365957363783900,0.46315122,4.1218772
SequenceLocation,1578365957476489000,0.39937133,4.1220417
SequenceLocation,1578365957628168500,0.61181396,4.37099
SequenceLocation,1578365957682023300,0.64395458,4.4106874
SequenceLocation,1578365957810046600,0.50276351,4.4135852
SequenceLocation,1578365957866927600,0.37344012,4.4758129
SequenceLocation,1578365957963965900,0.45268816,4.519146
SequenceLocation,1578365958115480000,0.28499308,4.5387764
SequenceLocation,1578365958165653600,0.31329811,4.563189
SequenceLocation,1578365958268478500,0.14667603,4.6930752
SequenceLocation,1578365958376647900,-0.001773861,4.7603483
SequenceLocation,1578365958464962700,-0.22258809,4.8449049
SequenceLocation,1578365958614944600,-0.36006394,4.82059
SequenceLocation,1578365958717857900,-0.34020013,4.6622782
SequenceLocation,1578365958772736600,-0.30650464,4.5350289
SequenceLocation,1578365958864702800,-0.36904094,4.5365915
SequenceLocation,1578365958966742800,-0.33893132,4.6091743
SequenceLocation,1578365959125797700,-0.35156441,4.6955447
SequenceLocation,1578365959178655800,-0.43693182,4.7101469
SequenceLocation,1578365959267135900,-0.5118857,4.7649159
SequenceLocation,1578365959375027900,-0.57552481,4.8288345
